Gaze tracking data for MED603 experiment 1
User is supposed to look at coordinates (719.0, 382.0)
Timestamp is in HH-mm-ss-fffffff
------------------------------
Timestamp,x,y
16-41-13-3532240,777.1055,465.5117
16-41-13-5090080,777.1055,465.5117
16-41-13-6727290,777.1055,465.5117
16-41-13-8092190,777.1055,465.5117
16-41-13-9663560,777.1055,465.5117
16-41-14-1248580,777.1055,465.5117
16-41-14-2571020,777.1055,465.5117
16-41-14-4131270,777.1055,465.5117
16-41-14-5647910,777.1055,465.5117
16-41-14-6926070,777.1055,465.5117
16-41-14-8289740,777.1055,465.5117
16-41-14-9928060,777.1055,465.5117
16-41-15-1531750,777.1055,465.5117
16-41-15-3092070,777.1055,465.5117
16-41-15-4781220,777.1055,465.5117
16-41-15-6288770,777.1055,465.5117
16-41-15-7888970,777.1055,465.5117
16-41-15-9529280,777.1055,465.5117
16-41-16-1092110,777.1055,465.5117
16-41-16-2729240,777.1055,465.5117
16-41-16-4333320,777.1055,465.5117
16-41-16-5928510,777.1055,465.5117
16-41-16-7489590,777.1055,465.5117
16-41-16-8808790,777.1055,465.5117
16-41-17-0365910,777.1055,465.5117
16-41-17-1730330,777.1055,465.5117
16-41-17-9728070,777.1055,465.5117
16-41-18-1288310,777.1055,465.5117
16-41-18-2930170,777.1055,465.5117
16-41-18-4568470,777.1055,465.5117
16-41-18-6182790,777.1055,465.5117
16-41-18-7786070,777.1055,465.5117
16-41-18-9369000,777.1055,465.5117
16-41-19-1006340,777.1055,465.5117
16-41-19-2528560,777.1055,465.5117
16-41-19-3847630,777.1055,465.5117
16-41-19-5491150,777.1055,465.5117
16-41-19-7008450,777.1055,465.5117
16-41-19-8660400,777.1055,465.5117
16-41-20-0289570,777.1055,465.5117
16-41-20-1889580,777.1055,465.5117
16-41-20-3527850,777.1055,465.5117
16-41-20-4807540,777.1055,465.5117
16-41-20-6504910,777.1055,465.5117
16-41-20-8128020,777.1055,465.5117
16-41-20-9727470,777.1055,465.5117
16-41-21-1286890,777.1055,465.5117
16-41-21-2850560,777.1055,465.5117
16-41-21-4422930,777.1055,465.5117
16-41-21-6012480,777.1055,465.5117
16-41-22-3616290,777.1055,465.5117
16-41-22-5164470,777.1055,465.5117
16-41-22-6444960,777.1055,465.5117
16-41-22-7766410,777.1055,465.5117
16-41-22-9378100,777.1055,465.5117
16-41-23-0967970,777.1055,465.5117
16-41-23-2533070,777.1055,465.5117
16-41-23-3807060,777.1055,465.5117
16-41-23-5371080,777.1055,465.5117
16-41-23-7005970,777.1055,465.5117
16-41-23-8687000,777.1055,465.5117
16-41-24-0244820,777.1055,465.5117
16-41-24-1605850,777.1055,465.5117
16-41-24-3130990,777.1055,465.5117
16-41-24-4684390,777.1055,465.5117
16-41-24-6327270,777.1055,465.5117
16-41-24-7931050,777.1055,465.5117
16-41-24-9606980,777.1055,465.5117
16-41-25-1206330,777.1055,465.5117
16-41-25-2649320,777.1055,465.5117
16-41-25-4209370,777.1055,465.5117
16-41-25-5804920,777.1055,465.5117
16-41-25-7086750,777.1055,465.5117
16-41-25-8403900,777.1055,465.5117
16-41-26-0047330,777.1055,465.5117
16-41-26-1687660,777.1055,465.5117
16-41-26-3204200,777.1055,465.5117
16-41-26-4808820,777.1055,465.5117
16-41-26-6365900,777.1055,465.5117
16-41-26-7686290,777.1055,465.5117
16-41-26-9261950,777.1055,465.5117
16-41-27-6808270,777.1055,465.5117
16-41-27-8421490,777.1055,465.5117
16-41-27-9965310,777.1055,465.5117
16-41-28-1606190,777.1055,465.5117
16-41-28-3160460,777.1055,465.5117
16-41-28-4442250,777.1055,465.5117
16-41-28-6041720,777.1055,465.5117
16-41-28-7648820,777.1055,465.5117
16-41-28-9248430,777.1055,465.5117
16-41-29-0886730,777.1055,465.5117
16-41-29-2444970,777.1055,465.5117
16-41-29-3968340,777.1055,465.5117
16-41-29-5611350,777.1055,465.5117
16-41-29-7162950,777.1055,465.5117
16-41-29-8497640,777.1055,465.5117
